Epoch,FrFT-GADF-AWC-TSAR,FrFT-GADF-ResNet,FrFT-GADF-VGG16,FrFT-GADF-DenseNet,Wavelet-CNN,Adaptive-CNN,LMSWT-SE-MSCNN,MARP-ResNet34
1,28.571428571428573,25.595238095238095,24.88095238095238,55.357142857142854,36.904761904761905,52.73809523809524,68.57142857142857,40.0
2,34.523809523809526,27.5,30.0,82.61904761904762,58.333333333333336,72.26190476190476,95.47619047619048,58.92857142857143
3,41.42857142857143,30.833333333333332,40.11904761904762,93.0952380952381,72.26190476190476,76.9047619047619,98.57142857142857,68.45238095238095
4,45.357142857142854,31.785714285714285,50.11904761904762,96.9047619047619,81.07142857142857,80.47619047619048,98.57142857142857,73.92857142857143
5,50.95238095238095,39.404761904761905,59.285714285714285,98.0952380952381,84.76190476190476,81.19047619047619,98.69047619047619,76.78571428571429
6,51.42857142857143,48.45238095238095,54.285714285714285,98.45238095238095,87.38095238095238,83.80952380952381,99.52380952380952,79.16666666666667
7,54.523809523809526,49.88095238095238,63.69047619047619,98.92857142857143,88.92857142857143,87.38095238095238,99.04761904761905,82.85714285714286
8,60.357142857142854,51.54761904761905,65.23809523809524,97.85714285714286,91.9047619047619,86.19047619047619,99.64285714285714,83.45238095238095
9,61.07142857142857,50.357142857142854,73.0952380952381,97.26190476190476,93.45238095238095,89.4047619047619,99.88095238095238,85.71428571428571
10,63.92857142857143,51.54761904761905,74.64285714285714,97.14285714285714,94.4047619047619,89.52380952380952,100.0,87.14285714285714
11,67.38095238095238,51.904761904761905,66.07142857142857,97.61904761904762,94.4047619047619,89.76190476190476,99.4047619047619,89.04761904761905
12,74.16666666666667,51.904761904761905,75.35714285714286,98.33333333333333,95.47619047619048,91.42857142857143,96.54761904761905,91.54761904761905
13,72.73809523809524,55.11904761904762,76.9047619047619,97.97619047619048,95.83333333333333,90.11904761904762,98.33333333333333,92.73809523809524
14,77.14285714285714,52.142857142857146,77.61904761904762,99.16666666666667,96.54761904761905,92.61904761904762,99.88095238095238,93.92857142857143
15,77.97619047619048,51.54761904761905,79.28571428571429,99.04761904761905,97.14285714285714,92.97619047619048,99.64285714285714,95.47619047619048
16,81.19047619047619,54.76190476190476,77.14285714285714,98.57142857142857,97.61904761904762,91.54761904761905,99.64285714285714,96.42857142857143
17,82.02380952380952,58.92857142857143,76.42857142857143,99.28571428571429,97.61904761904762,92.61904761904762,99.64285714285714,96.54761904761905
18,87.5,58.57142857142857,83.21428571428571,99.76190476190476,98.45238095238095,93.80952380952381,97.97619047619048,97.38095238095238
19,89.4047619047619,63.69047619047619,88.57142857142857,99.88095238095238,98.0952380952381,93.92857142857143,99.88095238095238,97.85714285714286
20,90.35714285714286,68.45238095238095,89.76190476190476,99.64285714285714,98.80952380952381,93.33333333333333,99.64285714285714,97.26190476190476
21,92.14285714285714,76.30952380952381,89.64285714285714,100.0,98.21428571428571,92.85714285714286,99.88095238095238,97.61904761904762
22,95.23809523809524,80.95238095238095,90.95238095238095,99.64285714285714,98.33333333333333,93.69047619047619,100.0,98.80952380952381
23,94.28571428571429,82.14285714285714,92.97619047619048,98.21428571428571,98.45238095238095,94.4047619047619,100.0,98.80952380952381
24,96.66666666666667,86.07142857142857,96.42857142857143,99.88095238095238,99.04761904761905,95.83333333333333,100.0,99.64285714285714
25,97.61904761904762,88.45238095238095,97.02380952380952,99.88095238095238,98.45238095238095,95.23809523809524,100.0,99.52380952380952
26,97.73809523809524,91.07142857142857,97.61904761904762,99.88095238095238,98.21428571428571,95.35714285714286,100.0,99.16666666666667
27,97.14285714285714,92.26190476190476,96.42857142857143,99.64285714285714,98.45238095238095,96.30952380952381,99.88095238095238,99.88095238095238
28,98.45238095238095,93.33333333333333,98.0952380952381,98.92857142857143,98.92857142857143,97.14285714285714,99.64285714285714,99.64285714285714
29,97.97619047619048,93.33333333333333,98.0952380952381,99.4047619047619,97.73809523809524,95.71428571428571,99.88095238095238,99.88095238095238
30,99.16666666666667,95.0,98.0952380952381,99.04761904761905,98.80952380952381,95.83333333333333,100.0,99.52380952380952
31,97.14285714285714,96.42857142857143,97.85714285714286,99.76190476190476,98.92857142857143,93.80952380952381,100.0,99.76190476190476
32,98.69047619047619,96.66666666666667,97.85714285714286,99.76190476190476,98.21428571428571,95.5952380952381,100.0,99.76190476190476
33,98.57142857142857,97.61904761904762,97.02380952380952,99.64285714285714,98.69047619047619,96.42857142857143,100.0,98.33333333333333
34,99.4047619047619,96.9047619047619,97.26190476190476,99.64285714285714,98.80952380952381,95.83333333333333,100.0,99.88095238095238
35,99.16666666666667,97.26190476190476,98.33333333333333,99.88095238095238,98.80952380952381,96.30952380952381,99.88095238095238,100.0
36,99.16666666666667,97.85714285714286,97.97619047619048,100.0,98.80952380952381,97.73809523809524,100.0,100.0
37,99.28571428571429,98.69047619047619,98.57142857142857,100.0,99.4047619047619,96.30952380952381,99.88095238095238,100.0
38,99.52380952380952,98.57142857142857,98.45238095238095,100.0,99.28571428571429,97.26190476190476,99.76190476190476,99.64285714285714
39,99.28571428571429,98.21428571428571,97.97619047619048,100.0,98.80952380952381,97.73809523809524,100.0,99.4047619047619
40,99.76190476190476,99.52380952380952,97.73809523809524,100.0,99.88095238095238,97.73809523809524,100.0,100.0
41,99.28571428571429,98.69047619047619,97.73809523809524,99.88095238095238,99.4047619047619,95.0,100.0,100.0
42,98.21428571428571,98.69047619047619,98.45238095238095,99.88095238095238,99.16666666666667,96.9047619047619,100.0,99.88095238095238
43,98.0952380952381,99.04761904761905,97.97619047619048,99.64285714285714,98.80952380952381,97.38095238095238,100.0,100.0
44,99.28571428571429,98.80952380952381,97.97619047619048,100.0,99.4047619047619,96.9047619047619,100.0,99.88095238095238
45,99.4047619047619,99.16666666666667,98.45238095238095,100.0,99.16666666666667,97.14285714285714,100.0,99.52380952380952
46,99.4047619047619,99.16666666666667,98.69047619047619,100.0,99.88095238095238,96.30952380952381,100.0,99.88095238095238
47,99.28571428571429,99.52380952380952,99.28571428571429,99.88095238095238,99.04761904761905,97.73809523809524,100.0,100.0
48,99.16666666666667,99.88095238095238,98.21428571428571,100.0,99.04761904761905,97.73809523809524,100.0,100.0
49,99.64285714285714,99.16666666666667,98.57142857142857,99.64285714285714,99.88095238095238,97.5,99.76190476190476,100.0
50,99.64285714285714,99.28571428571429,98.33333333333333,100.0,98.92857142857143,97.97619047619048,99.64285714285714,99.76190476190476
51,99.64285714285714,99.4047619047619,98.57142857142857,100.0,99.52380952380952,97.73809523809524,99.76190476190476,99.76190476190476
52,99.52380952380952,99.88095238095238,98.0952380952381,100.0,99.28571428571429,98.80952380952381,99.88095238095238,99.88095238095238
53,99.76190476190476,99.88095238095238,98.45238095238095,99.88095238095238,99.64285714285714,97.97619047619048,99.88095238095238,100.0
54,99.64285714285714,99.4047619047619,95.5952380952381,99.88095238095238,99.4047619047619,98.92857142857143,99.88095238095238,100.0
55,99.28571428571429,99.52380952380952,97.73809523809524,99.88095238095238,99.28571428571429,98.69047619047619,100.0,100.0
56,99.64285714285714,99.88095238095238,98.0952380952381,100.0,99.52380952380952,97.5,100.0,100.0
57,99.76190476190476,99.64285714285714,97.97619047619048,100.0,99.28571428571429,97.85714285714286,100.0,100.0
58,99.88095238095238,99.28571428571429,98.33333333333333,100.0,99.28571428571429,98.92857142857143,100.0,100.0
59,99.76190476190476,99.04761904761905,98.21428571428571,100.0,99.52380952380952,98.21428571428571,100.0,99.88095238095238
60,100.0,99.52380952380952,98.57142857142857,100.0,99.4047619047619,99.28571428571429,100.0,99.4047619047619
61,99.88095238095238,99.28571428571429,98.69047619047619,100.0,99.64285714285714,97.85714285714286,100.0,100.0
62,99.64285714285714,99.76190476190476,97.73809523809524,99.88095238095238,99.64285714285714,97.97619047619048,100.0,99.88095238095238
63,99.76190476190476,99.4047619047619,98.69047619047619,100.0,99.64285714285714,98.69047619047619,100.0,100.0
64,99.76190476190476,99.64285714285714,98.45238095238095,99.76190476190476,99.64285714285714,98.33333333333333,100.0,100.0
65,99.64285714285714,99.52380952380952,98.33333333333333,100.0,99.52380952380952,97.73809523809524,100.0,99.88095238095238
66,99.52380952380952,99.76190476190476,98.33333333333333,99.88095238095238,99.28571428571429,97.85714285714286,100.0,100.0
67,98.92857142857143,100.0,98.45238095238095,100.0,99.28571428571429,98.69047619047619,100.0,100.0
68,99.76190476190476,99.52380952380952,98.69047619047619,100.0,99.76190476190476,98.0952380952381,100.0,100.0
69,100.0,99.88095238095238,98.21428571428571,100.0,99.88095238095238,98.33333333333333,100.0,99.64285714285714
70,99.64285714285714,99.88095238095238,98.57142857142857,100.0,99.64285714285714,98.33333333333333,100.0,100.0
71,99.64285714285714,99.88095238095238,98.33333333333333,100.0,99.64285714285714,98.57142857142857,100.0,100.0
72,99.52380952380952,99.52380952380952,98.21428571428571,100.0,99.88095238095238,98.69047619047619,100.0,100.0
73,99.64285714285714,99.88095238095238,97.73809523809524,99.88095238095238,99.52380952380952,99.28571428571429,99.88095238095238,100.0
74,99.76190476190476,99.64285714285714,98.33333333333333,100.0,99.64285714285714,98.69047619047619,100.0,100.0
75,99.52380952380952,100.0,98.33333333333333,99.88095238095238,99.88095238095238,98.92857142857143,100.0,100.0
76,99.52380952380952,99.76190476190476,98.57142857142857,99.88095238095238,99.4047619047619,97.61904761904762,100.0,100.0
77,99.76190476190476,99.88095238095238,97.85714285714286,100.0,99.52380952380952,98.21428571428571,100.0,100.0
78,99.76190476190476,99.88095238095238,98.45238095238095,100.0,99.4047619047619,98.80952380952381,100.0,99.88095238095238
79,99.76190476190476,99.64285714285714,98.0952380952381,100.0,99.76190476190476,98.45238095238095,100.0,99.88095238095238
80,99.52380952380952,100.0,99.16666666666667,99.88095238095238,99.28571428571429,99.04761904761905,100.0,99.64285714285714
81,99.76190476190476,99.76190476190476,98.57142857142857,100.0,99.64285714285714,98.45238095238095,99.76190476190476,99.76190476190476
82,99.88095238095238,100.0,98.0952380952381,100.0,99.4047619047619,99.04761904761905,100.0,100.0
83,99.52380952380952,99.88095238095238,98.69047619047619,100.0,99.4047619047619,99.16666666666667,100.0,100.0
84,100.0,99.88095238095238,98.69047619047619,99.76190476190476,99.28571428571429,99.76190476190476,100.0,100.0
85,99.88095238095238,99.88095238095238,98.92857142857143,100.0,99.64285714285714,98.33333333333333,100.0,99.88095238095238
86,99.76190476190476,99.64285714285714,98.33333333333333,100.0,99.16666666666667,99.16666666666667,99.88095238095238,100.0
87,99.76190476190476,100.0,98.69047619047619,100.0,99.52380952380952,98.57142857142857,100.0,100.0
88,100.0,100.0,98.45238095238095,99.88095238095238,99.4047619047619,98.92857142857143,100.0,100.0
89,99.88095238095238,99.88095238095238,99.16666666666667,100.0,98.92857142857143,98.57142857142857,100.0,100.0
90,99.76190476190476,99.88095238095238,98.69047619047619,99.76190476190476,99.64285714285714,98.57142857142857,100.0,99.88095238095238
91,100.0,99.88095238095238,97.85714285714286,99.88095238095238,99.64285714285714,99.28571428571429,100.0,100.0
92,99.88095238095238,99.76190476190476,97.73809523809524,99.88095238095238,99.52380952380952,98.69047619047619,100.0,100.0
93,100.0,99.88095238095238,97.97619047619048,100.0,99.4047619047619,98.21428571428571,100.0,99.76190476190476
94,99.76190476190476,99.88095238095238,98.33333333333333,100.0,99.16666666666667,99.16666666666667,100.0,99.64285714285714
95,99.88095238095238,99.88095238095238,98.33333333333333,100.0,99.28571428571429,99.04761904761905,100.0,100.0
96,100.0,100.0,98.33333333333333,100.0,99.76190476190476,97.97619047619048,100.0,99.88095238095238
97,99.76190476190476,100.0,98.57142857142857,100.0,99.4047619047619,99.04761904761905,100.0,100.0
98,99.76190476190476,99.88095238095238,97.61904761904762,99.88095238095238,99.64285714285714,99.28571428571429,100.0,100.0
99,100.0,99.88095238095238,97.85714285714286,100.0,99.64285714285714,98.57142857142857,100.0,100.0
100,99.88095238095238,99.88095238095238,97.73809523809524,100.0,99.88095238095238,98.69047619047619,100.0,100.0
